2023-10-02-09:30:00,ERROR-1
2023-10-06-14:35:35,365.050
2023-10-06-14:40:36,365.295
2023-10-06-14:45:37,365.378
2023-10-06-14:50:37,365.190
2023-10-06-14:55:38,365.260
2023-10-06-15:00:38,365.211
2023-10-06-15:05:39,365.163
2023-10-06-15:10:39,365.340
2023-10-06-15:15:40,365.150
2023-10-06-15:20:40,365.249
2023-10-06-15:25:41,365.360
2023-10-06-15:30:42,365.705
2023-10-06-15:35:42,365.430
2023-10-06-15:40:43,365.800
2023-10-06-15:45:43,365.430
2023-10-06-15:50:44,365.247
2023-10-06-15:55:45,364.885
2023-10-06-16:00:45,364.700
2023-10-09-09:30:00,ERROR-1
2023-10-09-09:35:00,ERROR-1
2023-10-09-09:40:00,ERROR-1
2023-10-09-09:45:00,ERROR-1
2023-10-09-09:50:00,ERROR-1
2023-10-09-09:55:00,ERROR-1
2023-10-09-10:00:00,ERROR-1
2023-10-09-10:05:00,ERROR-1
2023-10-09-10:10:00,ERROR-1
2023-10-09-10:15:01,ERROR-1
2023-10-09-10:20:01,ERROR-1
2023-10-09-10:25:01,ERROR-1
2023-10-09-10:30:01,ERROR-1
2023-10-09-10:35:01,ERROR-1
2023-10-09-10:40:01,ERROR-1
2023-10-09-10:45:01,ERROR-1
2023-10-09-10:50:01,ERROR-1
2023-10-09-10:55:01,ERROR-1
2023-10-09-11:00:02,ERROR-1
2023-10-09-11:05:02,ERROR-1
2023-10-09-11:09:59,361.520
2023-10-09-11:14:59,361.560
2023-10-09-11:20:00,362.000
2023-10-09-11:25:00,362.290
2023-10-09-11:30:01,362.770
2023-10-09-11:35:02,362.910
2023-10-09-11:40:02,362.918
2023-10-09-11:45:03,362.830
2023-10-09-11:50:03,362.930
2023-10-09-11:55:04,362.900
2023-10-09-12:00:05,363.210
2023-10-09-12:05:05,363.135
2023-10-09-12:10:06,363.440
2023-10-09-12:15:07,363.390
2023-10-09-12:20:07,363.790
2023-10-09-12:25:08,364.008
2023-10-09-12:30:08,363.597
2023-10-09-12:35:09,363.800
2023-10-09-12:40:10,363.520
2023-10-09-12:45:10,363.332
2023-10-09-12:50:11,363.599
2023-10-09-12:55:11,363.505
2023-10-09-13:00:12,363.560
2023-10-09-13:05:13,363.730
2023-10-09-13:10:13,363.781
2023-10-09-13:15:14,363.800
2023-10-09-13:20:14,363.910
2023-10-09-13:25:15,363.960
2023-10-09-13:30:16,364.690
2023-10-09-13:35:16,365.050
2023-10-09-13:40:17,365.325
2023-10-09-13:45:17,366.010
2023-10-09-13:50:18,365.995
2023-10-09-13:55:19,366.278
2023-10-09-14:00:19,366.453
2023-10-09-14:05:20,366.470
2023-10-09-14:10:21,366.700
2023-10-09-14:15:21,366.550
2023-10-09-14:20:22,366.467
2023-10-09-14:25:22,366.540
2023-10-09-14:30:23,366.730
2023-10-09-14:35:23,366.450
2023-10-09-14:40:24,366.525
2023-10-09-14:45:25,366.750
2023-10-09-14:50:25,366.780
2023-10-09-14:55:26,367.055
2023-10-09-15:00:26,366.740
2023-10-09-15:05:27,366.750
