2024-04-01-09:30:00,ERROR-1
2024-04-04-13:45:29,480.250
2024-04-04-13:50:30,480.160
2024-04-04-13:55:30,480.080
2024-04-04-14:00:31,479.370
2024-04-04-14:05:31,479.200
2024-04-04-14:10:32,478.250
2024-04-04-14:15:32,477.690
2024-04-04-14:20:33,476.920
2024-04-04-14:25:33,477.590
2024-04-04-14:30:34,475.500
2024-04-04-14:35:34,475.250
2024-04-04-14:40:35,475.500
2024-04-04-14:45:36,474.924
2024-04-04-14:50:36,475.055
2024-04-04-14:55:37,474.100
2024-04-04-15:00:37,473.480
2024-04-04-15:05:38,473.970
2024-04-04-15:10:38,473.780
2024-04-04-15:15:39,473.500
2024-04-04-15:20:40,473.630
2024-04-04-15:25:40,473.130
2024-04-04-15:30:41,472.320
2024-04-04-15:35:42,472.050
2024-04-04-15:40:42,471.810
2024-04-04-15:45:43,471.920
2024-04-04-15:50:43,472.400
2024-04-04-15:55:44,472.340
2024-04-04-16:00:44,471.620
2024-04-05-09:30:00,472.850
2024-04-05-09:35:01,473.170
2024-04-05-09:40:01,472.560
2024-04-05-09:45:02,473.720
2024-04-05-09:50:02,473.820
2024-04-05-09:55:03,474.420
2024-04-05-10:00:03,474.170
2024-04-05-10:05:04,474.115
2024-04-05-10:10:05,473.940
2024-04-05-10:15:05,474.260
2024-04-05-10:20:06,474.070
2024-04-05-10:25:06,474.160
2024-04-05-10:30:07,473.699
2024-04-05-10:35:07,474.220
2024-04-05-10:40:08,474.120
2024-04-05-10:45:09,474.480
2024-04-05-10:50:09,475.170
2024-04-05-10:55:10,475.610
2024-04-05-11:00:10,476.000
2024-04-05-11:05:11,475.550
2024-04-05-11:10:11,475.450
2024-04-05-11:15:12,475.240
2024-04-05-11:20:12,475.160
2024-04-05-11:25:13,475.390
2024-04-05-11:30:14,475.880
2024-04-05-11:35:14,475.740
2024-04-05-11:40:15,476.260
2024-04-05-11:45:15,476.980
2024-04-05-11:50:16,476.810
2024-04-05-11:55:16,477.200
2024-04-05-12:00:17,477.550
2024-04-05-12:05:17,477.440
2024-04-05-12:10:18,477.655
2024-04-05-12:15:18,477.640
2024-04-05-12:20:19,477.868
2024-04-05-12:25:20,477.800
2024-04-05-12:30:20,477.630
2024-04-05-12:35:21,477.450
2024-04-05-12:40:21,477.705
2024-04-05-12:45:22,477.550
2024-04-05-12:50:22,477.470
2024-04-05-12:55:23,477.740
2024-04-05-13:00:23,478.210
2024-04-05-13:05:24,477.700
2024-04-05-13:10:24,477.310
2024-04-05-13:15:25,477.060
2024-04-05-13:20:25,477.045
2024-04-05-13:25:26,477.260
2024-04-05-13:30:26,477.275
2024-04-05-13:35:27,477.440
2024-04-05-13:40:27,477.250
2024-04-05-13:45:28,476.790
2024-04-05-13:50:28,476.680
2024-04-05-13:55:29,476.260
2024-04-05-14:00:29,475.790
2024-04-05-14:05:30,475.900
2024-04-05-14:10:30,476.730
2024-04-05-14:15:31,476.660
2024-04-05-14:20:31,476.740
2024-04-05-14:25:32,476.420
2024-04-05-14:30:33,476.070
2024-04-05-14:35:33,476.380
2024-04-05-14:40:34,476.690
2024-04-05-14:45:35,476.110
2024-04-05-14:50:35,475.570
2024-04-05-14:55:36,475.720
2024-04-05-15:00:36,475.960
2024-04-05-15:05:37,476.210
2024-04-05-15:10:37,476.030
2024-04-05-15:15:38,476.410
2024-04-05-15:20:38,476.330
2024-04-05-15:25:39,476.240
2024-04-05-15:30:40,476.189
2024-04-05-15:35:40,476.810
2024-04-05-15:40:41,476.510
2024-04-05-15:45:41,476.210
2024-04-05-15:50:42,476.800
2024-04-05-15:55:42,477.110
2024-04-05-16:00:43,476.360
2024-04-08-09:30:00,ERROR-1
2024-04-08-09:35:00,476.970
2024-04-08-09:40:01,476.330
2024-04-08-09:45:01,476.746
2024-04-08-09:50:02,476.770
2024-04-08-09:55:02,476.805
2024-04-08-10:00:03,476.880
2024-04-08-10:05:03,476.470
2024-04-08-10:10:04,476.740
2024-04-08-10:15:04,476.808
2024-04-08-10:20:05,476.720
2024-04-08-10:25:05,477.130
2024-04-08-10:30:06,477.490
2024-04-08-10:35:06,477.710
2024-04-08-10:40:07,477.792
2024-04-08-10:45:07,477.720
2024-04-08-10:50:08,477.910
2024-04-08-10:55:13,478.040
2024-04-08-11:00:14,477.990
2024-04-08-11:05:14,477.790
2024-04-08-11:10:15,477.810
2024-04-08-11:15:15,477.680
2024-04-08-11:20:16,477.550
2024-04-08-11:25:16,477.790
2024-04-08-11:30:17,477.290
2024-04-08-11:35:17,477.220
2024-04-08-11:40:18,477.085
2024-04-08-11:45:18,476.900
2024-04-08-11:50:19,476.700
2024-04-08-11:55:20,476.745
2024-04-08-12:00:20,476.560
2024-04-08-12:05:21,476.490
2024-04-08-12:10:21,476.580
2024-04-08-12:15:22,476.290
2024-04-08-12:20:22,476.465
2024-04-08-12:25:23,476.230
2024-04-08-12:30:23,476.543
2024-04-08-12:35:24,476.870
2024-04-08-12:40:24,476.760
2024-04-08-12:45:25,477.110
2024-04-08-12:50:25,477.030
2024-04-08-12:55:26,477.076
2024-04-08-13:00:26,477.380
2024-04-08-13:05:27,477.120
2024-04-08-13:10:27,477.040
2024-04-08-13:15:28,477.057
2024-04-08-13:20:28,476.980
2024-04-08-13:25:29,477.070
2024-04-08-13:30:29,477.150
2024-04-08-13:35:30,477.020
2024-04-08-13:40:30,477.000
2024-04-08-13:45:31,476.860
2024-04-08-13:50:31,476.797
2024-04-08-13:55:32,477.055
2024-04-08-14:00:32,477.290
2024-04-08-14:05:33,477.050
2024-04-08-14:10:33,477.300
2024-04-08-14:15:36,477.380
2024-04-08-14:20:36,477.270
2024-04-08-14:25:37,477.020
2024-04-08-14:30:37,477.125
2024-04-08-14:35:38,476.980
2024-04-08-14:40:38,476.900
2024-04-08-14:45:39,476.840
2024-04-08-14:50:40,476.930
2024-04-08-14:55:40,477.079
2024-04-08-15:00:40,477.270
2024-04-08-15:05:41,477.042
2024-04-08-15:10:42,477.076
2024-04-08-15:15:42,477.129
2024-04-08-15:20:43,477.185
2024-04-08-15:25:43,476.960
2024-04-08-15:30:44,477.285
2024-04-08-15:35:44,477.490
2024-04-08-15:40:45,477.009
2024-04-08-15:45:45,476.670
2024-04-08-15:50:46,476.810
2024-04-08-15:55:46,476.460
2024-04-08-16:00:47,476.700
2024-04-09-09:30:00,476.680
2024-04-09-09:35:01,477.990
2024-04-09-09:40:01,478.251
2024-04-09-09:45:02,477.840
2024-04-09-09:50:02,477.110
2024-04-09-09:55:03,477.000
2024-04-09-10:00:03,476.900
2024-04-09-10:05:04,476.960
2024-04-09-10:10:05,476.870
2024-04-09-10:15:05,477.100
2024-04-09-10:20:06,476.974
2024-04-09-10:25:06,476.960
2024-04-09-10:30:07,475.635
2024-04-09-10:35:07,474.940
2024-04-09-10:40:08,474.170
2024-04-09-10:45:08,473.320
2024-04-09-10:50:09,472.940
2024-04-09-10:55:09,472.830
2024-04-09-11:00:10,473.760
2024-04-09-11:05:11,473.650
2024-04-09-11:10:12,474.150
2024-04-09-11:15:12,474.100
2024-04-09-11:20:13,474.620
