2024-06-03-09:30:00,ERROR-1
2024-06-06-15:35:41,67.210
2024-06-06-15:40:42,67.220
2024-06-06-15:45:42,67.165
2024-06-06-15:50:43,67.420
2024-06-06-15:55:43,67.350
2024-06-06-16:00:44,67.385
2024-06-07-09:30:00,67.370
2024-06-07-09:35:00,66.660
2024-06-07-09:40:01,66.740
2024-06-07-09:45:02,66.930
2024-06-07-09:50:02,67.115
2024-06-07-09:55:03,67.290
2024-06-07-10:00:03,67.035
2024-06-07-10:05:04,67.110
2024-06-07-10:10:05,67.080
2024-06-07-10:15:05,67.095
2024-06-07-10:20:06,67.220
2024-06-07-10:25:06,67.100
2024-06-07-10:30:07,67.120
2024-06-07-10:35:08,67.210
2024-06-07-10:40:08,67.500
2024-06-07-10:45:09,67.720
2024-06-07-10:50:09,67.800
2024-06-07-10:55:10,67.720
2024-06-07-11:00:10,67.400
2024-06-07-11:05:11,67.280
2024-06-07-11:10:11,66.995
2024-06-07-11:15:12,67.080
2024-06-07-11:20:12,67.010
2024-06-07-11:25:13,67.380
2024-06-07-11:30:14,67.435
2024-06-07-11:35:14,67.520
2024-06-07-11:40:15,67.450
2024-06-07-11:45:15,67.365
2024-06-07-11:50:16,67.490
2024-06-07-11:55:16,67.500
2024-06-07-12:00:17,67.575
2024-06-07-12:05:17,67.570
2024-06-07-12:10:18,67.633
2024-06-07-12:15:18,67.610
2024-06-07-12:20:19,67.710
2024-06-07-12:25:20,67.815
2024-06-07-12:30:20,67.965
2024-06-07-12:35:21,67.815
2024-06-07-12:40:21,67.800
2024-06-07-12:45:22,67.775
2024-06-07-12:50:22,67.790
2024-06-07-12:55:23,68.050
2024-06-07-13:00:23,68.132
2024-06-07-13:05:24,68.022
2024-06-07-13:10:25,67.970
2024-06-07-13:15:25,68.020
2024-06-07-13:20:26,68.085
2024-06-07-13:25:26,68.250
2024-06-07-13:30:27,68.035
2024-06-07-13:35:27,68.055
2024-06-07-13:40:28,68.020
2024-06-07-13:45:29,67.950
2024-06-07-13:50:29,68.070
2024-06-07-13:55:30,68.035
2024-06-07-14:00:30,67.625
2024-06-07-14:05:31,67.265
2024-06-07-14:10:32,67.080
2024-06-07-14:15:32,66.785
2024-06-07-14:20:33,66.870
2024-06-07-14:25:33,67.085
2024-06-07-14:30:34,67.190
2024-06-07-14:35:34,67.240
2024-06-07-14:40:35,67.290
2024-06-07-14:45:35,67.395
2024-06-07-14:50:36,67.390
2024-06-07-14:55:36,67.400
2024-06-07-15:00:37,67.120
2024-06-07-15:05:37,67.210
2024-06-07-15:10:38,67.170
2024-06-07-15:15:38,67.020
2024-06-07-15:20:39,66.845
2024-06-07-15:25:39,66.930
2024-06-07-15:30:40,67.110
2024-06-07-15:35:41,67.150
2024-06-07-15:40:41,67.160
2024-06-07-15:45:42,67.200
2024-06-07-15:50:42,67.145
2024-06-07-15:55:43,67.125
2024-06-07-16:00:43,67.120
2024-06-10-09:30:00,ERROR-1
2024-06-10-09:35:00,66.845
2024-06-10-09:40:01,66.900
2024-06-10-09:45:02,66.680
2024-06-10-09:50:02,66.635
2024-06-10-09:55:03,66.690
2024-06-10-10:00:03,66.650
2024-06-10-10:05:04,66.730
2024-06-10-10:10:05,66.840
2024-06-10-10:15:05,66.717
2024-06-10-10:20:06,66.815
2024-06-10-10:25:07,66.912
2024-06-10-10:30:07,67.090
2024-06-10-10:35:08,67.015
2024-06-10-10:40:08,67.110
2024-06-10-10:45:09,67.090
2024-06-10-10:50:09,67.172
2024-06-10-10:55:10,67.285
2024-06-10-11:00:10,67.429
2024-06-10-11:05:11,67.405
2024-06-10-11:10:12,67.535
2024-06-10-11:15:12,67.495
2024-06-10-11:20:13,67.436
2024-06-10-11:25:13,67.560
2024-06-10-11:30:14,67.695
2024-06-10-11:35:14,67.681
2024-06-10-11:40:15,67.735
2024-06-10-11:45:15,67.700
2024-06-10-11:50:16,67.730
2024-06-10-11:55:17,67.845
2024-06-10-12:00:17,67.615
2024-06-10-12:05:18,67.708
2024-06-10-12:10:18,67.695
2024-06-10-12:15:19,67.835
2024-06-10-12:20:19,67.945
2024-06-10-12:25:20,67.820
2024-06-10-12:30:20,67.834
2024-06-10-12:35:21,67.830
2024-06-10-12:40:22,67.805
2024-06-10-12:45:22,67.900
2024-06-10-12:50:23,67.810
2024-06-10-12:55:23,67.850
2024-06-10-13:00:24,67.740
2024-06-10-13:05:24,67.830
2024-06-10-13:10:25,67.737
2024-06-10-13:15:26,67.585
2024-06-10-13:20:26,67.615
2024-06-10-13:25:27,67.550
2024-06-10-13:30:27,67.345
2024-06-10-13:35:28,67.395
2024-06-10-13:40:28,67.365
2024-06-10-13:45:29,67.540
2024-06-10-13:50:29,67.895
2024-06-10-13:55:30,67.810
2024-06-10-14:00:30,67.755
2024-06-10-14:05:31,67.750
2024-06-10-14:10:32,67.520
2024-06-10-14:15:32,67.540
2024-06-10-14:20:33,67.210
2024-06-10-14:25:33,67.380
2024-06-10-14:30:34,67.190
2024-06-10-14:35:34,67.220
2024-06-10-14:40:35,67.500
2024-06-10-14:45:35,67.539
2024-06-10-14:50:36,67.620
2024-06-10-14:55:36,67.560
2024-06-10-15:00:37,67.470
2024-06-10-15:05:38,67.700
2024-06-10-15:10:38,67.720
2024-06-10-15:15:39,67.997
2024-06-10-15:20:39,67.920
2024-06-10-15:25:40,67.840
2024-06-10-15:30:40,67.850
2024-06-10-15:35:41,67.756
2024-06-10-15:40:41,67.790
2024-06-10-15:45:42,67.725
2024-06-10-15:50:42,67.720
2024-06-10-15:55:43,67.690
2024-06-10-16:00:44,67.830
2024-06-11-09:30:00,67.830
2024-06-11-09:35:00,67.540
2024-06-11-09:40:01,67.330
2024-06-11-09:45:02,67.270
2024-06-11-09:50:02,66.912
2024-06-11-09:55:03,66.660
2024-06-11-10:00:03,67.043
2024-06-11-10:05:04,67.310
2024-06-11-10:10:04,67.300
2024-06-11-10:15:05,67.320
2024-06-11-10:20:06,67.360
2024-06-11-10:25:06,67.570
2024-06-11-10:30:07,67.660
2024-06-11-10:35:07,67.595
2024-06-11-10:40:08,67.720
2024-06-11-10:45:08,67.845
2024-06-11-10:50:09,67.980
2024-06-11-10:55:10,68.090
2024-06-11-11:00:10,68.140
2024-06-11-11:05:11,67.940
2024-06-11-11:10:11,67.864
2024-06-11-11:15:12,67.845
2024-06-11-11:20:13,67.921
2024-06-11-11:25:13,67.920
2024-06-11-11:30:14,67.955
2024-06-11-11:35:15,68.000
2024-06-11-11:40:15,67.899
2024-06-11-11:45:16,67.607
2024-06-11-11:50:16,67.502
2024-06-11-11:55:17,67.560
2024-06-11-12:00:18,67.525
2024-06-11-12:05:18,67.631
2024-06-11-12:10:19,67.678
2024-06-11-12:15:19,67.730
2024-06-11-12:20:20,67.700
2024-06-11-12:25:20,67.630
2024-06-11-12:30:21,67.747
2024-06-11-12:35:21,67.810
2024-06-11-12:40:22,67.770
2024-06-11-12:45:22,67.870
2024-06-11-12:50:23,67.800
2024-06-11-12:55:23,67.805
2024-06-11-13:00:24,67.800
2024-06-11-13:05:25,68.095
2024-06-11-13:10:25,68.035
2024-06-11-13:15:26,68.195
2024-06-11-13:20:26,68.115
2024-06-11-13:25:27,67.910
2024-06-11-13:30:27,68.010
2024-06-11-13:35:28,68.080
2024-06-11-13:40:28,68.270
2024-06-11-13:45:29,68.230
2024-06-11-13:50:29,68.210
2024-06-11-13:55:30,68.440
2024-06-11-14:00:30,68.435
2024-06-11-14:05:31,68.580
2024-06-11-14:10:31,68.340
2024-06-11-14:15:32,68.560
2024-06-11-14:20:33,68.690
2024-06-11-14:25:33,68.850
2024-06-11-14:30:34,68.960
2024-06-11-14:35:34,69.090
2024-06-11-14:40:35,69.020
2024-06-11-14:45:35,68.940
2024-06-11-14:50:36,69.030
2024-06-11-14:55:36,68.830
2024-06-11-15:00:37,68.925
2024-06-11-15:05:38,68.996
2024-06-11-15:10:38,68.895
2024-06-11-15:15:39,68.824
2024-06-11-15:20:39,68.770
2024-06-11-15:25:40,68.785
2024-06-11-15:30:40,68.755
2024-06-11-15:35:41,68.758
2024-06-11-15:40:41,68.835
2024-06-11-15:45:42,68.875
2024-06-11-15:50:42,68.830
2024-06-11-15:55:43,69.160
2024-06-11-16:00:43,69.230
2024-06-12-09:30:00,69.230
2024-06-12-09:35:01,71.375
2024-06-12-09:40:01,71.460
2024-06-12-09:45:02,71.900
2024-06-12-09:50:02,72.000
2024-06-12-09:55:03,71.900
2024-06-12-10:00:03,72.005
2024-06-12-10:05:04,72.060
2024-06-12-10:10:04,71.905
2024-06-12-10:15:05,72.176
2024-06-12-10:20:06,72.190
2024-06-12-10:25:06,72.370
2024-06-12-10:30:07,72.510
2024-06-12-10:35:07,72.500
2024-06-12-10:40:08,72.200
2024-06-12-10:45:08,72.060
2024-06-12-10:50:09,72.320
2024-06-12-10:55:09,71.975
2024-06-12-11:00:10,72.095
2024-06-12-11:05:10,72.180
2024-06-12-11:10:11,72.320
2024-06-12-11:15:11,72.140
2024-06-12-11:20:12,72.290
2024-06-12-11:25:13,72.430
2024-06-12-11:30:13,72.380
2024-06-12-11:35:14,72.290
2024-06-12-11:40:14,72.373
2024-06-12-11:45:15,72.235
2024-06-12-11:50:15,72.210
2024-06-12-11:55:16,72.145
2024-06-12-12:00:17,72.120
2024-06-12-12:05:17,72.120
2024-06-12-12:10:18,72.290
2024-06-12-12:15:18,72.130
2024-06-12-12:20:19,72.169
2024-06-12-12:25:19,72.060
2024-06-12-12:30:20,72.050
2024-06-12-12:35:20,72.055
2024-06-12-12:40:21,72.050
2024-06-12-12:45:22,72.180
2024-06-12-12:50:22,72.210
2024-06-12-12:55:23,72.110
2024-06-12-13:00:23,72.170
2024-06-12-13:05:24,72.295
2024-06-12-13:10:24,72.275
2024-06-12-13:15:25,72.270
2024-06-12-13:20:26,72.340
2024-06-12-13:25:26,72.400
2024-06-12-13:30:27,72.320
2024-06-12-13:35:27,72.150
2024-06-12-13:40:28,72.220
2024-06-12-13:45:28,72.150
2024-06-12-13:50:29,72.155
2024-06-12-13:55:29,72.200
2024-06-12-14:00:30,71.830
2024-06-12-14:05:30,71.950
2024-06-12-14:10:31,72.010
2024-06-12-14:15:32,71.980
2024-06-12-14:20:32,72.220
2024-06-12-14:25:33,72.180
2024-06-12-14:30:33,72.340
2024-06-12-14:35:34,72.110
2024-06-12-14:40:34,72.285
2024-06-12-14:45:35,71.970
2024-06-12-14:50:35,71.970
2024-06-12-14:55:36,71.960
2024-06-12-15:00:36,72.290
2024-06-12-15:05:37,72.250
2024-06-12-15:10:37,72.420
2024-06-12-15:15:38,72.660
2024-06-12-15:20:39,72.910
2024-06-12-15:25:39,72.070
2024-06-12-15:30:40,71.701
2024-06-12-15:35:40,71.605
2024-06-12-15:40:41,71.650
2024-06-12-15:45:41,71.450
2024-06-12-15:50:42,71.850
2024-06-12-15:55:43,72.230
2024-06-12-16:00:43,71.960
2024-06-13-09:30:00,71.960
2024-06-13-09:35:00,73.540
2024-06-13-09:40:01,73.840
2024-06-13-09:45:02,73.620
2024-06-13-09:50:02,73.780
2024-06-13-09:55:03,73.655
2024-06-13-10:00:03,73.580
2024-06-13-10:05:04,73.560
2024-06-13-10:10:04,73.545
2024-06-13-10:15:05,73.080
2024-06-13-10:20:05,72.910
2024-06-13-10:25:06,72.548
2024-06-13-10:30:07,72.910
2024-06-13-10:35:07,72.910
2024-06-13-10:40:08,73.090
2024-06-13-10:45:20,72.925
2024-06-13-10:50:20,73.000
2024-06-13-10:55:21,72.840
2024-06-13-11:00:21,72.750
2024-06-13-11:05:22,ERROR-1
2024-06-13-11:10:22,73.060
2024-06-13-11:15:23,72.850
2024-06-13-11:20:23,72.820
2024-06-13-11:25:24,72.910
2024-06-13-11:30:25,72.960
2024-06-13-11:35:25,73.095
2024-06-13-11:40:26,73.100
2024-06-13-11:45:26,73.205
2024-06-13-11:50:27,73.210
2024-06-13-11:55:28,73.139
2024-06-13-12:00:28,72.900
2024-06-13-12:05:29,72.775
2024-06-13-12:10:30,72.750
2024-06-13-12:15:30,72.770
2024-06-13-12:20:31,72.633
2024-06-13-12:25:31,72.340
2024-06-13-12:30:32,72.090
2024-06-13-12:35:33,72.520
2024-06-13-12:40:33,72.485
2024-06-13-12:45:34,72.590
2024-06-13-12:50:34,72.330
2024-06-13-12:55:35,72.490
2024-06-13-13:00:36,72.670
2024-06-13-13:05:36,72.730
2024-06-13-13:10:37,72.760
2024-06-13-13:15:37,72.745
2024-06-13-13:20:38,72.781
2024-06-13-13:25:39,72.835
2024-06-13-13:30:39,72.885
2024-06-13-13:35:40,72.790
2024-06-13-13:40:41,72.894
2024-06-13-13:45:41,72.975
2024-06-13-13:50:42,72.935
2024-06-13-13:55:42,72.965
2024-06-13-14:00:43,72.870
2024-06-13-14:05:43,72.760
2024-06-13-14:10:44,73.050
2024-06-13-14:15:45,73.005
2024-06-13-14:20:45,73.060
2024-06-13-14:25:46,73.100
2024-06-13-14:30:46,73.118
2024-06-13-14:35:47,73.095
2024-06-13-14:40:48,73.055
2024-06-13-14:45:48,73.165
2024-06-13-14:50:49,73.110
2024-06-13-14:55:49,73.155
2024-06-13-15:00:50,73.140
2024-06-13-15:05:51,73.310
2024-06-13-15:10:51,73.340
2024-06-13-15:15:52,73.060
2024-06-13-15:20:52,73.350
2024-06-13-15:25:53,73.255
2024-06-13-15:30:54,73.165
2024-06-13-15:35:54,73.125
2024-06-13-15:40:55,73.276
2024-06-13-15:45:56,73.240
2024-06-13-15:50:56,73.285
2024-06-13-15:55:57,73.380
2024-06-13-16:00:57,73.110
2024-06-14-09:30:00,73.110
2024-06-14-09:35:01,73.030
2024-06-14-09:40:01,73.190
2024-06-14-09:45:02,73.190
